"id","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"2","1","2022-09-13 01:33:27","2022-09-13 01:33:27",,"Mapa Exemplo",,"publish","closed","closed",,"mapa-exemplo",,,"2022-09-17 03:57:32","2022-09-17 03:57:32",,"0","https://mvabrigosbrasil.com.br/?page_id=2","0","page",,"0"
"5","1","2022-09-17 03:56:56","2022-09-17 03:56:56",,"Mapa Exemplo",,"inherit","closed","closed",,"2-revision-v1",,,"2022-09-17 03:56:56","2022-09-17 03:56:56",,"2","https://mvabrigosbrasil.com.br/?p=5","0","revision",,"0"
"6","1","2022-09-17 12:41:58","2022-09-17 12:41:58",,"Mapa Exemplo 2",,"publish","closed","closed",,"mapa-exemplo-2",,,"2022-09-17 12:41:58","2022-09-17 12:41:58",,"0","https://mvabrigosbrasil.com.br/?page_id=6","0","page",,"0"
"7","1","2022-09-17 12:41:54","2022-09-17 12:41:54",,"Mapa Exemplo 2",,"inherit","closed","closed",,"6-revision-v1",,,"2022-09-17 12:41:54","2022-09-17 12:41:54",,"6","https://mvabrigosbrasil.com.br/?p=7","0","revision",,"0"
"11","1","2022-09-24 12:28:06","2022-09-24 12:28:06",,"Inicial",,"publish","closed","closed",,"inicial",,,"2022-09-24 12:41:05","2022-09-24 12:41:05",,"0","https://mvabrigosbrasil.com.br/inicial/","1","page",,"0"
"12","1","2022-09-24 12:28:06","2022-09-24 12:28:06","<h2>Justificativa</h2> A Medicina de Abrigos Brasil - Infodados de Abrigos de Animais surge como uma forma de suprir a necessidade de promover a ciência da Medicina de abrigos no país, e obter dados representativos com base em estatísticas nacionais para o desenvolvimento de políticas públicas que reduzam o abandono de animais de estimação e promovam a adoção. Dessa forma, será possível garantir melhores práticas nesses ambientes; realizar o monitoramento contínuo do número de admissões e saídas de cães e gatos em abrigos; fornecer às organizações de animais informações necessárias que possam agilizar e dinamizar as operações de acordo com as necessidades de sua comunidade; avaliar resultados das estratégias de manejo existentes de cães e gatos abandonados e que estão em situação de rua; e facilitar a alocação eficaz de recursos do governo e em organizações de bem-estar animal.","Quem Somos",,"publish","closed","closed",,"quem-somos",,,"2023-08-05 09:20:25","2023-08-05 13:20:25",,"0","https://mvabrigosbrasil.com.br/quem-somos/","2","page",,"0"
"13","1","2022-09-24 12:28:06","2022-09-24 12:28:06","<h2>O que é a medicina veterinária de abrigos?</h2> A Medicina de Abrigos (MA) é o conhecimento aplicado da medicina veterinária ao estudo dos fatores que influenciam a manutenção de animais no coletivo para promover a melhor qualidade de vida de animais abrigados ou institucionalizados. É a área dedicada a cuidar de animais abandonados e encontrar novos lares para eles. Combina estratégias e princípios dos cuidados da saúde individual com as necessidades da população, tendo, portanto, enfoque na manutenção da saúde da população. As recomendações em medicina de abrigos podem diferir da prática privada devido às considerações para toda a população e não individualmente. A MA é uma área da medicina veterinária do coletivo (MVC) - Especialidade da Medicina Veterinária reconhecida pelo Conselho Federal de Medicina Veterinária em 2021 - que está em ascensão no Brasil, que tem como objetivo promover o manejo populacional de cães e gatos em áreas urbanas (MPCG), sustentável e ético, e promover a reabilitação e ressocialização dos animais abandonados para que sejam reintroduzidos na sociedade por meio da adoção responsável.  <img class=""alignnone size-full wp-image-1112"" src=""https://mvabrigosbrasil.com.br/wp-content/uploads/2023/08/medicina-de-abrigos.jpg"" alt="""" width=""870"" height=""459"" />  Abrigos são locais que reúnem animais em um espaço delimitado, seja para a proteção dos animais, seja para a proteção dos seres humanos e para a vigilância epidemiológica das doenças, e que podem ser classificados em públicos, privados e mistos.  Podemos dividir em duas grandes áreas: políticas externas, relacionadas com as estratégias para o MPCG existentes no território e que impactam diretamente o abrigo; políticas internas, demandadas para a promoção da gestão e bons níveis de bem-estar dos animais abrigados, diminuição do tempo de manutenção e adoções monitoradas.  Os abrigos devem funcionar como casas de passagem, aplicando os 4 Rs dos programas de MPCG: resgate seletivo, recuperação, ressocialização e reintrodução na sociedade. Esses objetivos serão alcançados se o abrigo tiver políticas internas rígidas, implementadas ao longo do tempo com o conhecimento do histórico das doenças, com estrutura física adequada, recursos humanos capacitados e investimento nas ações preventivas e na promoção da adoção.  Entenda a diferença da Medicina de Abrigos e a Clínica Veterinária tradicional na lâmina abaixo confeccionadas pelo Projeto Medicina Veterinária de Abrigos do Instituto PremieRpet e a Universidade Federal do Paraná:  &nbsp; <ul class=""list-unstyled mb-0 list_top list-inline"">  	<li class=""list-inline-item me-4""><a class=""color-primary"" href=""https://mvabrigosbrasil.com.br/banco-de-dados""><i class=""bi bi-bar-chart-fill""></i> Banco de Dados</a></li>  	<li class=""list-inline-item me-4""><a class=""color-primary"" href=""https://mvabrigosbrasil.com.br/login""><i class=""bi bi-person-check-fill""></i> Cadastre-se</a></li>  	<li class=""list-inline-item me-4""><a class=""color-primary"" href=""https://mvabrigosbrasil.com.br/biblioteca""><i class=""bi bi-file-earmark-post-fill""></i> Biblioteca</a></li> </ul>","Medicina de Abrigos",,"publish","closed","closed",,"medicina-de-abrigos",,,"2024-11-25 16:25:32","2024-11-25 20:25:32",,"0","https://mvabrigosbrasil.com.br/medicina-de-abrigos/","3","page",,"0"
"14","1","2022-09-24 12:28:06","2022-09-24 12:28:06",,"Banco de Dados",,"publish","closed","closed",,"banco-de-dados",,,"2022-09-24 12:28:06","2022-09-24 12:28:06",,"0","https://mvabrigosbrasil.com.br/banco-de-dados/","4","page",,"0"
"15","1","2022-09-24 12:28:06","2022-09-24 12:28:06","A iniciativa Medicina de Abrigos Brasil - Infodados de Abrigos de Animais surgiu como uma forma de suprir a necessidade de promover a ciência da Medicina de abrigos no país, e obter dados representativos com base em estatísticas nacionais para o desenvolvimento de políticas públicas que reduzam o abandono de animais de estimação e promovam a adoção.  Caso você seja um abrigo (seja ele público, privado ou misto) ou um lar temporário/protetor independente que resgata abriga cães e gatos, e quer nos ajudar registrando seus dados da dinâmica populacional mensal, se <strong><a href=""https://mvabrigosbrasil.com.br/login"">CADASTRE-SE AQUI</a></strong>. Ao participar como um contribuidor de dados, você terá acesso a um banco de dados objetivo e imparcial de suas próprias estatísticas do abrigo e também de outras instituições, tanto a nível local quanto nacional. Você estará ajudando a melhorar a compreensão sobre a realidade dos animais abandonados e em situação de risco, na construção de políticas públicas mais eficazes e a alocar melhor os recursos em vários abrigos ou provedores de serviços para animais.  Caso você seja uma organização/empresa privada ou pública e se interessou pelo projeto, compactua com a nossa missão e objetivos, e queira nos ajudar com contribuições e doações, entre em contato conosco via e-mail: <a href=""mailto:contato@mvabrigosbrasil.com.br"">contato@mvabrigosbrasil.com.br</a>","Parceiros do Projeto",,"publish","closed","closed",,"parceiros",,,"2022-10-22 14:26:51","2022-10-22 18:26:51",,"0","https://mvabrigosbrasil.com.br/parceiros/","5","page",,"0"
"16","1","2022-09-24 12:28:06","2022-09-24 12:28:06","<h2>O que é o Programa de Voluntários?</h2> Esse programa visa conectar pessoas interessadas em atuar como voluntários em abrigos de animais/lares temporários com essas organizações de duas formas:  1) Lista de voluntários criada a partir do cadastro de voluntários e disponibilizada abaixo, que possibilita que os abrigos/lares temporários tenham acesso ao perfil do voluntário disponível, podendo encontrar aquele que seja compatível com sua necessidade;  2) Divulgação de vagas para voluntariado disponibilizado pelos abrigos/lares temporários cadastrados no site, permitindo que voluntários encontrem possibilidades de atuação do seu interesse.  Cadastre-se e faça parte desse programa!","Programa de Voluntários",,"publish","closed","closed",,"programa-de-voluntarios",,,"2022-09-29 19:08:34","2022-09-29 19:08:34",,"0","https://mvabrigosbrasil.com.br/voluntarios/","6","page",,"0"
